FULL NAME,GP,MPG,USG%,FT%,3P%,eFG%,PPG,RPG,APG,SPG,BPG,TO,VI,ORTG,DRTG
Giannis Antetokounmpo,63,30.4,37.5,0.633,0.304,0.589,29.5,13.6,5.6,0.98,1.05,3.65,17.2,116.1,90.2
Luka Doncic,61,33.6,36.8,0.758,0.316,0.531,28.8,9.4,8.8,0.98,0.23,4.28,15.9,115.6,104
LeBron James,67,34.6,31.5,0.693,0.348,0.55,25.3,7.8,10.2,1.16,0.54,3.9,14.6,115.4,103.8
Nikola Jokic,73,32,26.6,0.817,0.314,0.565,19.9,9.7,7,1.16,0.6,3.08,13.8,118.8,101.5
James Harden,68,36.5,36.2,0.865,0.355,0.543,34.3,6.5,7.5,1.84,0.88,4.49,13,120.3,103.3
Stephen Curry,5,27.9,33.6,1,0.245,0.476,20.8,5.2,6.6,1,0.4,3.2,12.8,109.4,108.3
Karl-Anthony Towns,35,33.9,28.8,0.796,0.412,0.6,26.5,10.8,4.4,0.94,1.2,3.14,12.7,120.7,104
Russell Westbrook,57,36,34.4,0.763,0.258,0.493,27.2,7.9,7,1.65,0.35,4.47,12.7,105.6,102.4
Joel Embiid,51,29.5,33,0.807,0.331,0.512,23,11.6,3,0.86,1.29,3.12,12.6,113,96.8
Kawhi Leonard,57,32.4,33,0.886,0.378,0.524,27.1,7.1,4.9,1.81,0.58,2.61,12.1,117,101.9
Johnathan Motley,13,3.2,23.5,0.714,1,0.767,2.2,0.8,0.5,0.23,0,0.38,12,,
Domantas Sabonis,62,34.8,23.3,0.723,0.254,0.551,18.5,12.4,5,0.73,0.48,2.76,12,115,99.1
Trae Young,60,35.3,34.9,0.86,0.361,0.519,29.6,4.2,9.3,1.08,0.13,4.8,11.9,113.9,115.2
Ryan Anderson,2,7,23.7,0,0.2,0.357,2.5,3.5,1,0.5,0,0.5,11.8,77.5,94.4
Dewan Hernandez,6,4.7,29.1,0.6,0.5,0.393,2.3,2.3,0.5,0.17,0,0.5,11.8,94.4,80.6
Kyrie Irving,20,32.9,32.6,0.922,0.394,0.546,27.4,5.2,6.4,1.35,0.5,2.6,11.8,118.6,104.1
Ben Simmons,57,35.4,20.9,0.621,0.286,0.58,16.4,7.8,8,2.11,0.58,3.51,11.4,115.2,100.7
Jusuf Nurkic,8,31.7,24,0.886,0.2,0.505,17.6,10.3,4,1.38,2,2.38,11.3,115.5,98.3
Jabari Parker,6,13.4,23.7,0.889,0.25,0.597,8.5,3.8,1.7,0.5,0.17,0.67,11.3,128.7,106.1
Nikola Vucevic,62,32.2,25.8,0.784,0.339,0.525,19.6,10.8,3.6,0.87,0.76,1.42,11.3,113.4,103
Bam Adebayo,72,33.6,21.2,0.691,0.143,0.558,15.9,10.2,5.1,1.14,1.29,2.82,11.2,116.2,102.2
Andre Drummond,49,33.7,25.5,0.584,0.048,0.531,17.8,15.8,2.8,1.98,1.67,3.55,11,104.3,97.5
Frank Mason,9,13.1,24.3,0.588,0.286,0.51,6.9,2.1,3.2,0.56,0.11,1.22,11,109.2,96.8
Khris Middleton,62,29.9,26.3,0.916,0.415,0.575,20.9,6.2,4.3,0.85,0.11,2.19,11,118.1,97.8
Jimmy Butler,58,33.8,25.1,0.834,0.244,0.474,19.9,6.6,6,1.78,0.55,2.19,10.9,122.5,107.2
Kyle O'Quinn,29,10.8,15.7,0.55,0.259,0.535,3.5,4,1.8,0.24,0.83,0.69,10.9,116,97.7
Malcolm Brogdon,54,30.9,25.2,0.892,0.326,0.488,16.5,4.9,7.1,0.65,0.19,2.43,10.8,110.4,106.9
Damian Lillard,66,37.5,30.3,0.888,0.401,0.563,30,4.3,8,1.06,0.33,2.94,10.8,126.1,115.5
Eric Bledsoe,61,27,23.7,0.79,0.344,0.526,14.9,4.7,5.4,0.92,0.43,2.43,10.7,111.4,98.2
Anthony Davis,62,34.4,29.3,0.846,0.33,0.536,26.1,9.3,3.2,1.47,2.31,2.48,10.7,120.3,100.6
D'Angelo Russell,12,32.6,29.5,0.873,0.345,0.505,21.7,4.6,6.6,1.42,0.33,3.92,10.7,105.1,110.2
Paul George,48,29.6,29.6,0.876,0.412,0.539,21.5,5.7,3.9,1.4,0.42,2.6,10.6,111.9,100.9
Chris Paul,70,31.5,23.3,0.907,0.365,0.552,17.6,5,6.7,1.59,0.16,2.3,10.6,120.4,103
Mason Plumlee,61,17.3,18,0.535,0,0.615,7.2,5.2,2.5,0.52,0.61,1.33,10.5,117.4,98.1
Ricky Rubio,65,31,20.4,0.863,0.361,0.471,13,4.7,8.8,1.45,0.17,2.66,10.5,112.4,105.2
Shamorie Ponds,4,2.7,23.7,1,0.5,0.7,2.3,0.3,0.5,0,0.25,0,10.4,,
Jonas Valanciunas,70,26.4,21.6,0.74,0.352,0.605,14.9,11.3,1.9,0.44,1.1,1.81,10.4,119.1,100.1
DeMar DeRozan,68,34.1,26.3,0.844,0.257,0.535,22.1,5.5,5.6,1.03,0.29,2.41,10.3,118.3,108.6
Kevin Love,56,31.8,23.2,0.854,0.374,0.55,17.6,9.8,3.2,0.59,0.34,2.52,10.3,112.5,110.1
Chimezie Metu,18,5.9,23.7,0.769,0,0.571,3.2,1.8,0.6,0.17,0.33,0.56,10.3,113,108.4
Ja Morant,67,31,25.9,0.776,0.335,0.509,17.8,3.9,7.3,0.88,0.27,3.28,10.3,108.4,110.7
Julius Randle,64,32.5,27.6,0.733,0.277,0.493,19.5,9.7,3.1,0.8,0.34,3.03,10.3,104.4,105.7
Bradley Beal,57,36,34.4,0.843,0.353,0.52,30.6,4.2,6.1,1.26,0.4,3.42,10.2,112.6,114
De'Aaron Fox,51,32,29.8,0.705,0.292,0.513,21.1,3.8,6.8,1.45,0.49,3.12,10.2,110.4,106.7
D'Angelo Russell,33,32.1,32.2,0.785,0.374,0.524,23.6,3.7,6.2,0.91,0.27,3.06,10.2,106.7,112.3
Spencer Dinwiddie,64,31.2,29.2,0.778,0.308,0.476,20.6,3.5,6.8,0.63,0.33,2.72,10.1,111,105.1
Boban Marjanovic,42,10,26.9,0.754,0.235,0.586,6.9,4.7,0.5,0.19,0.24,0.74,10.1,118.8,96.6
Elfrid Payton,45,27.7,19.5,0.57,0.203,0.455,10,4.7,7.2,1.58,0.38,2.11,10.1,104.8,107.8
Devin Booker,70,35.9,30,0.919,0.354,0.544,26.6,4.2,6.5,0.69,0.26,3.77,10,115.3,107.3
Andre Drummond,8,28.1,28.8,0.513,0.286,0.571,17.5,11.1,1.8,1.5,1.38,3.63,10,99.3,100.8
Brandon Ingram,62,33.9,28.1,0.851,0.391,0.531,23.8,6.1,4.2,0.98,0.6,3.03,10,111.4,106.8
Dejounte Murray,66,25.6,20.8,0.798,0.369,0.494,10.9,5.8,4.1,1.68,0.26,1.89,10,104.7,104.4
Lonzo Ball,63,32.1,18.4,0.566,0.375,0.511,11.8,6.1,6.9,1.41,0.59,3.05,9.9,103.1,108.2
James Johnson,14,24.2,21.4,0.676,0.37,0.566,12,4.7,3.8,1.29,1.43,2.36,9.9,109.1,100.9
Kyle Lowry,58,36.2,23.1,0.857,0.352,0.518,19.4,5,7.5,1.41,0.45,3.07,9.9,115.9,99.9
J.J. Barea,29,15.5,24.2,0.909,0.376,0.488,7.7,1.8,3.9,0.17,0.07,1.31,9.8,108.6,110.7
Jrue Holiday,61,34.7,24.6,0.709,0.353,0.516,19.1,4.8,6.7,1.62,0.8,3.07,9.8,107.4,108.8
DeAndre Jordan,56,22,14.1,0.68,0,0.666,8.3,10,1.9,0.32,0.93,1.32,9.8,127.5,98.3
Willy Hernangomez,31,12.1,22.9,0.627,0.227,0.55,6.1,4.4,0.9,0.32,0.23,0.97,9.6,109.8,103.7
Derrick Rose,50,26,31.6,0.871,0.306,0.52,18.1,2.4,5.6,0.8,0.34,2.52,9.6,109.6,114
Zion Williamson,24,27.8,30.5,0.64,0.429,0.592,22.5,6.3,2.1,0.67,0.38,2.46,9.6,114.6,110.2
Draymond Green,43,28.4,15.7,0.759,0.279,0.448,8,6.2,6.2,1.37,0.77,2.28,9.5,100.6,105.2
Stanley Johnson,25,6,23.1,0.563,0.292,0.432,2.4,1.5,0.8,0.24,0.16,0.6,9.5,89.7,95.6
Caris LeVert,45,29.6,29.4,0.711,0.364,0.48,18.7,4.2,4.4,1.18,0.22,2.6,9.5,102.2,106.8
T.J. McConnell,71,18.7,17.5,0.833,0.294,0.521,6.5,2.7,5,0.8,0.15,1.41,9.5,112.2,106.4
Pascal Siakam,60,35.2,28.1,0.792,0.359,0.512,22.9,7.3,3.5,1.02,0.88,2.47,9.5,107.1,99.9
Lou Williams,65,28.7,28.4,0.861,0.352,0.477,18.2,3.1,5.6,0.66,0.18,2.8,9.5,108.8,108.6
Marquese Chriss,59,20.3,19,0.769,0.205,0.554,9.3,6.2,1.9,0.66,1.05,1.32,9.4,116.6,104.5
Gordon Hayward,52,33.5,21.1,0.855,0.383,0.561,17.5,6.7,4.1,0.73,0.42,1.85,9.4,118.1,105.5
Joakim Noah,5,10,14.6,0.75,0,0.5,2.8,3.2,1.4,0.2,0.2,1.2,9.3,106,90.6
Dion Waiters,3,14,30.8,0,0.471,0.538,9.3,3.7,1,0,0.67,1,9.3,93.2,98.8
Kemba Walker,56,31.1,27.2,0.864,0.381,0.526,20.4,3.9,4.8,0.86,0.5,2.09,9.3,115.8,107.4
Steven Adams,63,26.7,17.3,0.582,0.333,0.593,10.9,9.3,2.3,0.81,1.06,1.51,9.2,122,101.9
Harry Giles III,46,14.5,20.6,0.776,0,0.554,6.9,4.1,1.3,0.48,0.39,0.96,9.2,111.1,94
Enes Kanter,58,17,19.4,0.707,0.143,0.573,8.1,7.4,1,0.4,0.71,0.97,9.2,122.1,97
Zach LaVine,60,34.8,31.7,0.802,0.38,0.526,25.5,4.8,4.2,1.45,0.47,3.43,9.2,106.9,108.4
Rajon Rondo,48,20.5,18.7,0.659,0.328,0.482,7.1,3,5,0.81,0.04,1.9,9.2,102.6,104.6
Jayson Tatum,66,34.3,28.6,0.812,0.403,0.527,23.4,7,3,1.42,0.86,2.33,9.2,110.5,103.5
Deandre Ayton,38,32.5,23.6,0.753,0.231,0.548,18.2,11.5,1.9,0.66,1.53,2.11,9.1,110.4,102.9
Goran Dragic,59,28.2,25.9,0.776,0.367,0.526,16.2,3.2,5.1,0.68,0.17,2.46,9.1,110.3,106.6
Aaron Gordon,62,32.5,20.7,0.674,0.308,0.484,14.4,7.7,3.7,0.82,0.63,1.61,9.1,107.2,105.8
Al Horford,67,30.2,17.5,0.763,0.35,0.52,11.9,6.8,4,0.81,0.91,1.19,9.1,114.6,105
Jeremiah Martin,9,11,26.7,0.786,0.278,0.5,7.1,1.1,2,0.78,0.22,0.44,9.1,115.8,104.3
Jalen Brunson,57,17.9,20.3,0.813,0.358,0.522,8.2,2.4,3.3,0.39,0.07,1.16,9,113.6,108.3
Jordan McRae,29,22.5,24.9,0.771,0.377,0.483,12.8,3.6,2.8,0.66,0.52,1.31,9,106,109.8
Donovan Mitchell,69,34.3,30.8,0.863,0.366,0.513,24,4.4,4.3,1.01,0.2,2.67,9,109.5,105.7
Shabazz Napier,36,23.8,19.1,0.818,0.296,0.486,9.6,3.1,5.2,1.14,0.19,2.11,9,108.1,108.9
Dragan Bender,9,21.6,20.1,0.727,0.324,0.514,9,5.9,2.1,0.44,0.44,1.78,8.9,100.9,102.4
Thomas Bryant,46,24.9,18.9,0.739,0.407,0.626,13.2,7.2,1.8,0.54,1.07,1.15,8.9,126,108.6
Chris Chiozza,18,15.5,19.7,1,0.357,0.519,6.4,2.1,3.1,0.61,0.11,1.28,8.9,106.5,103.8
Gorgui Dieng,46,16.9,18.4,0.797,0.383,0.531,7.4,5.6,1.3,0.8,0.91,0.96,8.9,112.6,101.2
Reggie Jackson,14,27.2,27,0.788,0.378,0.462,14.9,2.9,5.1,0.57,0.07,1.64,8.9,106,112.5
De'Anthony Melton,60,19.5,19.2,0.769,0.286,0.451,7.6,3.7,2.9,1.27,0.33,1.4,8.9,102,102.5
Kristaps Porzingis,57,31.8,27,0.799,0.352,0.503,20.4,9.5,1.8,0.72,2.02,1.61,8.9,110.7,101.4
Ivica Zubac,72,18.4,16.4,0.747,0,0.61,8.3,7.6,1.1,0.22,0.92,0.85,8.9,132.1,95.4
Willie Cauley-Stein,13,12.1,14.7,0.556,0,0.689,5.2,4.6,0.8,0.31,0.85,0.38,8.8,134.5,97.6
Tobias Harris,72,34.3,23.9,0.805,0.367,0.527,19.6,6.9,3.2,0.72,0.56,1.44,8.8,112.3,105.9
Frank Kaminsky,39,19.9,21,0.678,0.331,0.516,9.7,4.5,1.9,0.38,0.26,0.95,8.8,109.5,104.2
Jamal Murray,59,32.3,25.2,0.881,0.346,0.519,18.5,4,4.8,1.14,0.29,2.15,8.8,111.5,110.3
Jahlil Okafor,30,15.6,19.9,0.645,0.333,0.627,8.1,4.2,1.2,0.23,0.73,1.27,8.8,116.6,101.1
Cameron Payne,8,22.9,19.1,0.857,0.517,0.596,10.9,3.9,3,1,0.25,1.38,8.8,114.7,102.1
Thanasis Antetokounmpo,20,6.4,21.6,0.412,0,0.5,2.8,1.2,0.8,0.35,0.1,0.6,8.7,97.9,91.9
Devonte' Graham,63,35.1,24.8,0.82,0.373,0.495,18.2,3.3,7.5,0.98,0.24,2.87,8.7,109.6,112.4
Blake Griffin,18,28.5,28.4,0.776,0.243,0.406,15.5,4.7,3.3,0.39,0.39,2.22,8.7,97.5,111.8
Montrezl Harrell,63,27.8,25.7,0.658,0,0.579,18.6,7.1,1.7,0.63,1.11,1.71,8.7,118.5,102.2
John Henson,29,14.2,16.2,0.515,0.194,0.533,5,3.9,1.5,0.55,1.1,0.72,8.7,111.5,101.5
Jakob Poeltl,66,17.7,13.1,0.465,0,0.624,5.6,5.7,1.8,0.56,1.45,0.8,8.7,125.5,103.5
Andrew Wiggins,42,34.7,27.9,0.72,0.331,0.502,22.4,5.2,3.7,0.69,0.86,2.52,8.7,104.6,110.6
Will Barton,58,33,20.1,0.77,0.375,0.523,15.1,6.3,3.7,1.07,0.5,1.52,8.6,112.2,107.8
John Konchar,19,9.5,10.3,0.5,0.5,0.716,2.8,2.5,1.2,0.37,0.16,0.37,8.6,138.9,109.9
Naz Reid,30,16.5,24,0.698,0.33,0.477,9,4.1,1.2,0.63,0.73,0.73,8.6,104.8,97.6
Nickeil Alexander-Walker,47,12.6,23.3,0.676,0.346,0.455,5.7,1.8,1.9,0.36,0.17,1.15,8.5,93.2,106.4
Aron Baynes,42,22.2,21.2,0.747,0.351,0.556,11.5,5.7,1.6,0.21,0.55,1.19,8.5,112.8,99
Alec Burks,48,29,23.8,0.897,0.375,0.476,16.1,4.7,3.1,1.02,0.33,1.58,8.5,110.7,109.2
Alec Burks,18,20.2,23.6,0.829,0.416,0.557,12.2,3.1,2.1,0.67,0,0.83,8.5,119.5,107.3
Derrick Favors,51,24.4,14,0.563,0.143,0.62,9,9.8,1.6,0.59,0.9,1.08,8.5,124.5,103.9
Markelle Fultz,72,27.7,21.4,0.73,0.267,0.488,12.1,3.3,5.1,1.25,0.17,2.04,8.5,104.2,105.6
Rudy Gay,67,21.8,22,0.882,0.336,0.508,10.8,5.4,1.7,0.52,0.49,1.31,8.5,106.7,108.2
Reggie Jackson,17,21.3,19.1,0.905,0.413,0.555,9.5,3,3.2,0.29,0.24,1.65,8.5,110.9,101.6
Jeff Teague,34,27.8,20.2,0.868,0.379,0.497,13.2,2.6,6.1,0.74,0.38,2.24,8.5,116.1,110.8
Fred VanVleet,54,35.7,21.7,0.848,0.39,0.507,17.6,3.8,6.6,1.8,0.31,2.2,8.5,112.9,102.6
Cody Zeller,58,23.1,20.8,0.682,0.24,0.542,11.1,7.1,1.5,0.69,0.43,1.29,8.5,115.2,103
LaMarcus Aldridge,53,33.1,23.4,0.827,0.389,0.531,18.9,7.4,2.4,0.68,1.64,1.4,8.4,114.7,109.1
Jarrett Allen,70,26.5,14.9,0.633,0,0.649,11.1,9.6,1.6,0.57,1.31,1.1,8.4,131.3,101
Nemanja Bjelica,72,27.9,17,0.821,0.417,0.583,11.5,6.3,2.8,0.85,0.56,1.36,8.4,118.3,103.5
Brandon Goodwin,34,12.7,22.4,0.933,0.299,0.468,6.1,2.1,1.5,0.35,0.12,0.85,8.4,100.8,108.9
Isaiah Hartenstein,23,11.6,14.8,0.679,0,0.657,4.7,3.9,0.8,0.39,0.52,0.7,8.4,127.6,95.5
Emmanuel Mudiay,54,15.7,22.6,0.759,0.345,0.509,7.3,2.3,2.1,0.44,0.19,1.41,8.4,103,104
Dennis Schroder,65,30.8,27.2,0.839,0.385,0.534,18.9,3.6,4,0.71,0.22,2.55,8.4,107.7,105.5
Dennis Smith Jr.,34,15.8,23.1,0.509,0.296,0.379,5.5,2.3,2.9,0.82,0.24,1.71,8.4,84.2,103.1
Ish Smith,68,26.3,19.1,0.721,0.367,0.492,10.9,3.2,4.9,0.88,0.44,1.4,8.4,107.8,113.9
Tristan Thompson,57,30.2,18.3,0.615,0.391,0.521,12,10.1,2.1,0.56,0.88,1.81,8.4,111.1,109.5
Hassan Whiteside,67,30,19.6,0.686,0.571,0.624,15.5,13.5,1.2,0.39,2.93,1.79,8.4,124.4,103.5
Justise Winslow,11,32,20.6,0.667,0.222,0.411,11.3,6.6,4,0.73,0.45,2.18,8.4,92.9,101.2
Troy Brown Jr.,69,25.8,17.8,0.784,0.341,0.488,10.4,5.6,2.6,1.22,0.1,1.14,8.3,108.2,109.7
Michael Carter-Williams,45,18.5,18.3,0.832,0.293,0.469,7.2,3.3,2.4,1.09,0.49,1.16,8.3,109.3,100.5
Brandon Clarke,58,22.4,18.6,0.759,0.359,0.645,12.1,5.9,1.4,0.57,0.83,0.95,8.3,126.6,105.5
John Collins,41,33.2,22.7,0.8,0.401,0.632,21.6,10.1,1.5,0.76,1.61,1.83,8.3,123.5,106.6
Shai Gilgeous-Alexander,70,34.7,23.6,0.807,0.347,0.515,19,5.9,3.3,1.13,0.67,1.93,8.3,111.3,106.4
Buddy Hield,72,30.8,27.2,0.846,0.394,0.545,19.2,4.6,3,0.93,0.24,2.33,8.3,106,108.7
George Hill,59,21.5,15.5,0.842,0.46,0.624,9.4,3,3.1,0.8,0.08,0.97,8.3,130.3,100.4
Rondae Hollis-Jefferson,60,18.7,17.2,0.734,0.13,0.476,7,4.7,1.8,0.77,0.38,0.97,8.3,113.7,97.5
Serge Ibaka,55,27,24,0.718,0.385,0.564,15.4,8.2,1.4,0.51,0.84,1.98,8.3,107.6,96.4
Larry Nance Jr.,56,26.3,15.2,0.676,0.352,0.596,10.1,7.3,2.2,0.98,0.39,1.07,8.3,121.9,109.4
Kelly Olynyk,67,19.4,17.4,0.86,0.406,0.582,8.2,4.6,1.7,0.67,0.34,1.06,8.3,116.1,96.6
Jabari Parker,32,26.2,24,0.736,0.27,0.543,15,6,1.8,1.31,0.47,1.88,8.3,106.3,105.7
Chris Silva,44,7.9,17.2,0.673,0,0.615,3,2.9,0.5,0.18,0.48,0.75,8.3,119.6,85.1
Caleb Swanigan,20,13.3,12.9,0.533,0,0.605,3,4.7,1.5,0.1,0.25,1.55,8.3,98.2,94.3
PJ Dozier,29,14.2,20.8,0.724,0.347,0.468,5.8,1.9,2.2,0.48,0.21,0.93,8.2,101.9,103.7
Alex Len,40,18.6,18.8,0.63,0.25,0.571,8.7,5.8,1.1,0.5,0.83,1,8.2,114.5,104
CJ McCollum,70,36.5,25.9,0.757,0.379,0.522,22.2,4.3,4.4,0.77,0.6,1.81,8.2,110.8,113.1
Tomas Satoransky,65,28.9,16.7,0.876,0.322,0.488,9.9,3.9,5.4,1.23,0.11,2,8.2,110.7,108
Noah Vonleh,29,12,13.8,0.821,0.143,0.558,4.1,4,0.9,0.38,0.21,0.62,8.2,120.1,103.4
Derrick White,68,24.7,18.9,0.853,0.366,0.53,11.3,3.3,3.5,0.66,0.85,1.31,8.2,118,108.1
Andrew Wiggins,12,33.6,25.4,0.672,0.339,0.511,19.4,4.6,3.6,1.33,1.33,2.08,8.2,106.2,111.4
Robert Williams III,29,13.4,13.5,0.647,0,0.727,5.2,4.4,0.9,0.79,1.21,0.69,8.2,134.4,92.8
Delon Wright,73,21.5,14.4,0.77,0.367,0.518,6.9,3.8,3.3,1.15,0.3,1,8.2,119,107.1
Mike Conley,47,29,23.1,0.827,0.375,0.494,14.4,3.2,4.4,0.79,0.11,1.96,8.1,109.2,106
Terence Davis,72,16.8,19,0.864,0.388,0.564,7.5,3.3,1.6,0.54,0.19,1.06,8.1,110.4,98.1
Donte DiVincenzo,66,23,17.3,0.733,0.336,0.536,9.2,4.8,2.3,1.33,0.32,1.36,8.1,108.1,96.6
Marc Gasol,44,26.4,13.2,0.735,0.385,0.529,7.5,6.2,3.3,0.77,0.86,1.34,8.1,110.1,96
Josh Jackson,22,17.3,22.8,0.7,0.319,0.513,9,3,1.6,0.82,0.41,1.27,8.1,103,102.6
Bobby Portis,66,21.1,21.4,0.763,0.358,0.507,10.1,5.1,1.5,0.5,0.27,1.11,8.1,106.6,107.6
Luka Samanic,3,16.1,17.6,0.75,0.375,0.406,5.3,3.3,2,0,0.67,0.67,8.1,98.3,104.4
Dario Saric,66,24.7,17.8,0.844,0.357,0.554,10.7,6.2,1.9,0.56,0.24,1.33,8.1,113.9,103.9
Christian Wood,62,21.4,23,0.745,0.386,0.62,13.1,6.3,1,0.55,0.89,1.35,8.1,122.6,106.3
Patrick Beverley,51,26.3,13.3,0.66,0.388,0.548,7.9,5.2,3.6,1.06,0.49,1.29,8,115.1,97.9
Michael Porter Jr.,55,16.4,22.3,0.833,0.422,0.59,9.3,4.7,0.8,0.49,0.45,0.89,8,117,100.7
Terry Rozier,63,34.4,23.8,0.869,0.405,0.513,18,4.4,4.1,0.95,0.16,2.24,8,108.5,110.8
Noah Vonleh,7,4.3,14,0.5,1,0.917,1.9,1.1,0.3,0,0,0.29,8,135.1,101.7
Moritz Wagner,45,18.6,18.6,0.821,0.313,0.592,8.7,4.9,1.2,0.62,0.42,1.47,8,113.7,98.4
Kyle Anderson,67,19.8,13.5,0.667,0.282,0.511,5.8,4.3,2.4,0.78,0.55,0.99,7.9,108.9,104.6
Trey Burke,25,13.1,19.2,0.722,0.421,0.528,5.9,1.4,2.1,0.28,0.04,0.48,7.9,118.1,108.9
Bruno Caboclo,8,6.5,22.7,1,0.25,0.55,3.5,2,0.3,0.63,0.63,0.75,7.9,108.1,93.2
Rudy Gobert,68,34.3,16.2,0.63,0,0.693,15.1,13.5,1.5,0.72,1.97,1.91,7.9,130,99.2
Joe Ingles,72,29.7,15,0.787,0.399,0.572,9.8,3.9,5.2,0.9,0.15,1.96,7.9,115.2,105.5
Tyler Johnson,8,24.3,19.8,1,0.389,0.494,12,3.1,3,0.5,0.13,0.63,7.9,121.2,106.7
Tyus Jones,65,19,17.2,0.741,0.379,0.514,7.4,1.6,4.4,0.91,0.09,0.85,7.9,116.1,112.1
Victor Oladipo,19,27.8,26.5,0.814,0.317,0.461,14.5,3.9,2.9,0.89,0.21,2.47,7.9,94.3,105.3
Justin Wright-Foreman,4,11.3,23.9,0.75,0.2,0.4,4.8,1.3,1.8,0.5,0,0.75,7.9,92.8,100.6
Bruce Brown,58,28.2,16,0.739,0.344,0.48,8.9,4.7,4,1.09,0.5,1.74,7.8,106.2,105.2
Shaquille Harrison,43,11.3,18.1,0.78,0.381,0.515,4.9,2,1.1,0.81,0.44,0.44,7.8,116.3,100.3
Brandon Knight,9,24.6,22.2,0.762,0.388,0.543,11.6,2.3,4.2,0.56,0.11,2.44,7.8,106.2,108.2
Skal Labissiere,33,17.2,14.3,0.758,0.231,0.561,5.8,5.1,1.3,0.21,0.94,0.91,7.8,120,101.4
Paul Millsap,51,24.3,20,0.816,0.435,0.543,11.6,5.7,1.6,0.86,0.59,1.37,7.8,115.8,100.9
Naz Mitrou-Long,5,9.4,18.7,0,0.167,0.412,2.8,1.4,1.6,0.2,0.2,0.6,7.8,87.1,108
Shabazz Napier,20,24.4,21.6,0.831,0.358,0.512,11.6,2.4,3.8,1.45,0.2,2.6,7.8,103.7,110.9
Vincent Poirier,22,5.9,15.4,0.857,0.5,0.486,1.9,2,0.4,0.09,0.41,0.36,7.8,106.2,88.7
Alen Smailagic,14,9.9,18.3,0.842,0.231,0.538,4.2,1.9,0.9,0.21,0.29,0.79,7.8,112.3,107.7
Marcus Smart,60,32,18.9,0.836,0.347,0.476,12.9,3.8,4.9,1.67,0.48,1.73,7.8,109.4,102.6
