Player,PER,TS%,USG%,OWS,DWS,WS,OBPM,DBPM,BPM,VORP
Steven Adams,20.5,0.604,17.3,3.8,2.7,6.5,1.9,1.1,2.9,2.1
Bam Adebayo,20.3,0.598,21.2,4.6,3.9,8.5,1.4,2,3.4,3.3
LaMarcus Aldridge,19.7,0.571,23.4,3,1.4,4.5,1.8,-0.5,1.4,1.5
Kyle Alexander,4.7,0.5,10.2,0,0,0,-6.4,-3.7,-10.1,0
Nickeil Alexander-Walker,8.9,0.473,23.3,-0.7,0.4,-0.2,-3.2,-1.4,-4.6,-0.4
Grayson Allen,12,0.609,17.6,0.8,0.4,1.2,-0.1,-1.2,-1.3,0.1
Jarrett Allen,20.7,0.664,14.9,5.2,2.9,8.2,1.4,1,2.3,2
Kadeem Allen,14,0.512,20.6,0.1,0.1,0.1,-0.3,-0.7,-0.9,0
Al-Farouq Aminu,7.6,0.395,13.2,-0.4,0.5,0.1,-4.4,1.4,-3,-0.1
Justin Anderson,3.2,0.352,17.1,-0.2,0.1,-0.1,-6.8,-1,-7.7,-0.2
Kyle Anderson,12.5,0.534,13.5,0.9,1.7,2.5,-1.5,2,0.5,0.9
Ryan Anderson,9.4,0.357,23.7,0,0,0,-3.3,0.5,-2.8,0
Giannis Antetokounmpo,31.9,0.613,37.5,6.1,5,11.1,7.4,4.1,11.5,6.6
Kostas Antetokounmpo,16.3,0.902,10.3,0.1,0,0.1,0.2,-0.9,-0.7,0
Thanasis Antetokounmpo,12.2,0.496,21.6,-0.1,0.2,0.2,-4.6,1.4,-3.2,0
Carmelo Anthony,12.4,0.525,21.2,0.4,0.9,1.3,-1.8,-1.8,-3.6,-0.8
OG Anunoby,13.2,0.6,14.3,2.1,3.7,5.7,-0.8,2,1.2,1.7
Ryan Arcidiacono,9,0.551,12.5,0.7,0.7,1.4,-2.7,-0.1,-2.8,-0.2
Trevor Ariza,11,0.593,11.8,1.3,1.2,2.5,-1.4,0.9,-0.5,0.6
D.J. Augustin,14,0.554,19.1,2,0.9,2.9,-0.3,-1.3,-1.6,0.2
Deandre Ayton,20,0.568,23.7,1.5,1.6,3.1,0.8,-0.4,0.4,0.7
Dwayne Bacon,6.1,0.419,19.5,-1.2,0.4,-0.8,-5.9,-0.9,-6.8,-0.8
Marvin Bagley III,15.6,0.512,25.8,0,0.3,0.4,-2.2,-1.4,-3.5,-0.1
Lonzo Ball,13.1,0.517,18.5,0.4,2,2.4,0.1,0.6,0.6,1.3
Mo Bamba,17.5,0.542,17.1,0.8,1.7,2.5,-1.2,1.6,0.4,0.5
J.J. Barea,14.6,0.512,24.2,0.5,0.2,0.7,1.6,-3,-1.4,0.1
Harrison Barnes,13.3,0.574,17.4,3.4,1.1,4.6,0,-1.3,-1.3,0.5
RJ Barrett,10.7,0.479,24,-1.6,1.1,-0.5,-2.9,-1.5,-4.3,-1
Will Barton,15.6,0.549,20.1,2.4,1.8,4.2,1.2,-0.2,1.1,1.5
Keita Bates-Diop,12.4,0.539,15.8,0.6,0.6,1.2,-1,-0.4,-1.4,0.1
Nicolas Batum,9.2,0.463,9.4,0.2,0.4,0.6,-2.8,0.9,-1.9,0
Aron Baynes,15.2,0.581,21.1,1.3,0.8,2.1,-0.2,-0.8,-1,0.2
Kent Bazemore,9.3,0.499,17.5,-0.9,1.5,0.6,-3.4,0.3,-3,-0.5
Darius Bazley,9.6,0.497,15.1,-0.5,1.5,1,-2.1,0.5,-1.6,0.1
Bradley Beal,23.2,0.579,34.4,4.5,0.6,5.1,5.3,-2.4,2.9,2.5
Malik Beasley,12.7,0.546,21.8,0.4,0.8,1.2,-0.7,-1.4,-2.1,0
Marco Belinelli,10.8,0.532,17.5,0.7,0.2,0.8,-0.7,-2,-2.7,-0.2
Jordan Bell,13.9,0.577,16.4,0.2,0.2,0.4,-1.4,-1.1,-2.5,0
DeAndre' Bembry,9.6,0.5,14,-0.5,0.8,0.2,-3.5,1.1,-2.5,-0.1
Dragan Bender,10.9,0.545,17.7,0,0.3,0.3,-3.1,0.2,-2.9,-0.1
Dāvis Bertāns,15.5,0.628,19,3,0.5,3.5,2.7,-1.8,0.9,1.1
Patrick Beverley,12.5,0.56,13.3,1.6,2,3.6,-0.3,2.5,2.2,1.4
Khem Birch,11.7,0.566,10.2,1.2,0.9,2.2,-2.5,0.2,-2.4,-0.1
Goga Bitadze,12.1,0.523,17.9,-0.1,0.8,0.7,-4.1,1.8,-2.3,0
Bismack Biyombo,16.1,0.57,16.8,1.5,0.9,2.4,-1.8,-0.7,-2.5,-0.1
Nemanja Bjelica,15.7,0.602,17,3.4,1.9,5.3,1.2,0.5,1.8,1.9
Eric Bledsoe,17.6,0.571,23.7,2.4,3,5.4,0.8,1,1.8,1.6
Bogdan Bogdanović,15.2,0.565,22.6,1.8,1.3,3.1,1.2,-0.5,0.6,1.2
Bojan Bogdanović,15.6,0.603,25.5,2.6,1.6,4.2,1.6,-1.5,0.1,1.1
Bol Bol,14.4,0.617,21.2,0,0.1,0.1,-2.3,-0.7,-3,0
Jonah Bolden,4.9,0.392,13.4,-0.1,0.1,0,-8.8,-0.4,-9.2,-0.1
Marques Bolden,19.8,,0,0,0,0,-5.8,11.3,5.4,0
Jordan Bone,0.8,0.3,18.1,-0.1,0,-0.1,-9.1,-2.8,-11.9,-0.1
Isaac Bonga,10.2,0.608,11,1.2,0.6,1.8,-2.7,-0.1,-2.8,-0.3
Devin Booker,20.6,0.618,30,6,1.5,7.5,3.4,-1.3,2.2,2.6
Chris Boucher,20.7,0.587,19.7,2.1,1.8,3.8,1,1,2,0.8
Brian Bowen,0.1,0.3,15.6,-0.1,0,-0.1,-9.1,-1.8,-10.9,-0.1
Ky Bowman,9.1,0.494,17.2,-0.6,0.6,-0.1,-4,-0.3,-4.3,-0.6
Avery Bradley,8.9,0.537,15.7,0.2,1.4,1.5,-3,0.5,-2.5,-0.2
Tony Bradley,21.7,0.681,15.8,2.2,1.1,3.3,1,0.3,1.3,0.6
Jarrell Brantley,8,0.416,16.3,-0.2,0.1,0,-5.3,0.7,-4.6,-0.1
Ignas Brazdeikis,3.2,0.351,21,-0.1,0,-0.1,-5.1,-3.9,-9,-0.1
Corey Brewer,8.7,0.47,9.6,0,0.1,0,-6,2.8,-3.2,0
Mikal Bridges,12.9,0.62,12.7,2.5,2.3,4.8,-0.6,1.5,0.8,1.5
Miles Bridges,12.1,0.52,20,0.3,1.3,1.6,-1.5,-1,-2.5,-0.3
Oshae Brissett,6.7,0.458,15,-0.1,0.2,0.1,-5.8,0.4,-5.3,-0.1
Ryan Broekhoff,13.1,0.568,16.3,0.2,0.2,0.4,0.5,0.3,0.8,0.1
Malcolm Brogdon,17.7,0.541,25.2,2.3,1.7,4,2.3,-0.5,1.8,1.6
Dillon Brooks,11.3,0.51,25.2,-0.4,1.6,1.2,-2.7,-1.4,-4.1,-1.1
Bruce Brown,11.9,0.518,16,0.7,1.4,2.1,-2,0.8,-1.2,0.3
Charlie Brown Jr.,11,0.472,25.1,0,0,0,-1.2,-1.4,-2.5,0
Jaylen Brown,16.9,0.583,24.7,2.3,2.6,4.9,1,-0.2,0.8,1.4
Moses Brown,6.7,0.407,21.2,-0.1,0,0,-8.2,-1.8,-10,-0.1
Sterling Brown,9.5,0.486,17,-0.4,1.5,1.1,-3,1,-2,0
Troy Brown Jr.,13.7,0.524,17.8,1.3,1.2,2.4,-0.8,-0.4,-1.2,0.3
Jalen Brunson,14.9,0.553,20.4,1.6,0.6,2.1,0.1,-1,-0.9,0.3
Thomas Bryant,21.1,0.649,18.9,3.1,0.8,3.9,2.9,-0.7,2.2,1.2
Reggie Bullock,9.3,0.502,15.6,0.2,0.3,0.5,-2.8,-0.3,-3,-0.2
Trey Burke,15.6,0.548,20,1,0.4,1.3,0.8,-1,-0.2,0.2
Alec Burks,16.7,0.561,23.8,2.5,1.2,3.7,1.2,-0.7,0.5,1.1
Deonte Burton,4.3,0.396,18.5,-0.9,0.4,-0.5,-6.3,-0.5,-6.8,-0.4
Jimmy Butler,23.6,0.585,25.1,6.3,2.7,9,4,1.5,5.4,3.7
Bruno Caboclo,14.1,0.484,18,0,0.4,0.4,-3,0.9,-2.1,0
Devontae Cacok,28.6,0.5,28.1,0,0,0,4.8,-4.6,0.2,0
Kentavious Caldwell-Pope,11,0.584,14.7,1.9,1.9,3.7,-1.2,0.4,-0.8,0.5
Vlatko Čančar,11.4,0.507,19.1,0,0,0.1,-3.6,-1.2,-4.8,0
Clint Capela,20.6,0.626,16.1,2.8,2.1,4.9,1,0.4,1.4,1.1
DeMarre Carroll,9.1,0.515,14.8,0,0.2,0.3,-3.1,-0.7,-3.9,-0.1
Jevon Carter,11.3,0.563,12.9,0.8,1,1.8,-0.7,1.3,0.6,0.6
Vince Carter,7.5,0.47,16.6,-0.6,0.4,-0.2,-3.1,-1.2,-4.3,-0.5
Wendell Carter Jr.,15.5,0.59,16.4,1.7,1.6,3.3,-2.1,-0.3,-2.4,-0.1
Michael Carter-Williams,15.3,0.535,18.3,0.7,1.2,1.9,-1.5,1.6,0.1,0.5
Alex Caruso,10.8,0.525,13.8,0.5,1.8,2.3,-2.6,2.4,-0.2,0.5
Willie Cauley-Stein,17,0.589,14.4,1.5,1.5,2.9,-1.2,1.7,0.5,0.7
Tyson Chandler,10.8,0.717,6,0.3,0.3,0.6,-2.6,1.1,-1.5,0
Wilson Chandler,7.4,0.531,12.9,-0.1,0.9,0.7,-3.7,1,-2.7,-0.1
Joe Chealey,-2.9,0.127,13.2,-0.2,0,-0.1,-14.3,1.7,-12.5,-0.1
Zylan Cheatham,6.7,0.667,10.4,0,0,0,-6.6,-0.5,-7.2,-0.1
Chris Chiozza,12,0.499,18.1,0,0.4,0.5,-1.6,0.5,-1.2,0.1
Marquese Chriss,19.5,0.604,19,2.1,1.3,3.4,0,0.6,0.6,0.8
Gary Clark,10.7,0.568,11,0.7,0.5,1.2,-0.9,-0.9,-1.9,0
Brandon Clarke,20.9,0.663,18.7,3.4,1.6,5,2.4,0.7,3.1,1.7
Jordan Clarkson,17.3,0.574,26.3,2.4,1,3.4,2.4,-1.3,1.1,1.3
Nic Claxton,14.8,0.577,14.8,0.3,0.2,0.5,-0.7,0.1,-0.7,0.1
Chris Clemons,13.1,0.548,23.6,0.1,0.2,0.4,0.3,-1.3,-1,0.1
Antonius Cleveland,2.5,0.34,16.9,-0.1,0,-0.1,-9,-1,-10.1,-0.1
Amir Coffey,8.5,0.493,17.6,0,0.2,0.1,-4.3,0.1,-4.1,-0.1
John Collins,23.5,0.659,22.7,3.8,1.2,4.9,3.7,-0.6,3.1,1.7
Zach Collins,9.9,0.538,12.5,0.2,0.1,0.3,-1.7,-1.4,-3.1,-0.1
Mike Conley,14.1,0.537,23.1,1.4,1.1,2.5,0.7,-0.4,0.3,0.8
Pat Connaughton,11.5,0.565,12.3,1.1,2.3,3.4,-0.9,1.5,0.6,0.8
Quinn Cook,10,0.509,21,-0.2,0.5,0.3,-2.3,-1.4,-3.8,-0.2
Tyler Cook,19.4,0.741,14.7,0.2,0,0.2,0.3,-0.5,-0.2,0
Robert Covington,13.3,0.559,17,0.7,3,3.7,-1.2,1.3,0,1.1
Allen Crabbe,6,0.47,12.7,-0.2,0.2,-0.1,-3.7,-1.5,-5.3,-0.5
Torrey Craig,10.8,0.553,12.6,1.1,0.9,2,-2,-0.3,-2.3,-0.1
Jamal Crawford,33.2,0.625,27.9,0.1,0,0.1,12.4,2.6,15,0
Jae Crowder,12.5,0.553,15.5,1.6,2.2,3.8,-0.5,0.4,-0.1,0.9
Jarrett Culver,9.6,0.467,19.2,-1.2,1.1,-0.1,-3.3,-0.7,-4,-0.8
Seth Curry,15.5,0.643,18.4,3.5,0.8,4.3,1.7,-0.9,0.8,1.2
Stephen Curry,21.7,0.557,33.6,0.2,0.1,0.3,4.5,-0.6,3.9,0.2
Troy Daniels,8.4,0.518,16.3,0.1,0.5,0.6,-1.7,-1.2,-2.9,-0.1
Anthony Davis,27.4,0.61,29.3,6.7,4.4,11.1,5.4,2.6,8,5.4
Ed Davis,9.5,0.489,9.4,0.2,0.5,0.6,-4.6,1.5,-3.2,-0.1
Terence Davis,13.8,0.588,19,1.2,1.9,3.1,0.1,0.7,0.8,0.8
Dewayne Dedmon,9.4,0.473,18.1,-1,1,0.1,-5.8,0,-5.8,-0.7
Matthew Dellavedova,8.1,0.463,13,0.1,0.1,0.2,-3.6,-1.6,-5.2,-0.7
DeMar DeRozan,21.6,0.603,26.3,5.9,1.3,7.3,2.3,-0.4,1.9,2.3
Cheick Diallo,16.5,0.688,17,0.8,0.5,1.3,-1.1,-0.2,-1.3,0.1
Hamidou Diallo,9.3,0.491,18.4,-0.7,1.1,0.4,-4.2,0.3,-3.9,-0.4
Gorgui Dieng,17.1,0.568,17.6,1.3,1.7,2.9,-0.2,1.8,1.5,1
Spencer Dinwiddie,17.8,0.541,29.2,3.2,1.6,4.8,2.7,-0.9,1.8,1.9
Donte DiVincenzo,14.1,0.557,17.3,1,3.2,4.3,-1.1,2.4,1.3,1.3
Luka Dončić,27.6,0.585,36.8,6.5,2.3,8.8,7.4,1,8.4,5.4
Luguentz Dort,7.6,0.506,14.1,0.1,0.8,0.8,-4.1,0.4,-3.7,-0.4
Damyean Dotson,10.9,0.527,16.5,0.6,0.4,0.9,-0.9,-0.5,-1.4,0.1
Sekou Doumbouya,6.2,0.474,16.9,-0.8,0.5,-0.3,-5.2,-1.4,-6.7,-0.9
PJ Dozier,11.6,0.495,20.8,0,0.4,0.4,-2.5,-1.2,-3.8,-0.2
Goran Dragić,16.3,0.573,25.9,2.2,1.3,3.5,1.4,-1.6,-0.1,0.8
Andre Drummond,22,0.553,25.9,0.6,3.6,4.2,-0.1,1.1,0.9,1.4
Jared Dudley,7.8,0.558,8,0.3,0.5,0.8,-2.7,2,-0.7,0.1
Kris Dunn,12.1,0.51,14.6,0.3,2,2.3,-3.8,3.1,-0.6,0.4
Carsen Edwards,6.9,0.444,18.4,-0.3,0.4,0.1,-4.4,-0.2,-4.6,-0.2
Henry Ellenson,-1.3,0.143,19.5,-0.1,0,-0.1,-7.5,-3.4,-10.9,0
Wayne Ellington,8.5,0.509,15,0.2,0.2,0.4,-1.9,-1,-2.9,-0.1
Joel Embiid,25.8,0.59,32.9,3.3,2.7,6,3.7,1,4.7,2.5
James Ennis III,11.5,0.565,15.7,1,1.4,2.4,-2.2,-0.4,-2.6,-0.2
Drew Eubanks,17.3,0.682,15.8,0.5,0.3,0.8,-1.4,-0.4,-1.8,0
Jacob Evans,5.5,0.436,17.5,-0.7,0.2,-0.5,-5.8,-1.3,-7.1,-0.5
Dante Exum,10.3,0.576,15,0.2,0.2,0.4,-2.5,-0.4,-2.9,-0.1
Tacko Fall,28.4,0.751,23.7,0.1,0.1,0.2,0.4,6,6.5,0.1
Derrick Favors,18.5,0.62,14,2.6,1.6,4.2,0.7,0.3,1,0.9
Cristiano Felício,12.8,0.671,9.1,0.7,0.3,1,-1.4,-1.7,-3.1,-0.1
Terrance Ferguson,3.7,0.481,9.1,-0.3,0.9,0.6,-4.8,0.3,-4.5,-0.8
Bruno Fernando,11.9,0.542,15.3,0.4,0.4,0.8,-3.2,-0.9,-4.1,-0.4
Yogi Ferrell,12.2,0.528,19.2,0.3,0.3,0.7,-1.5,-0.3,-1.8,0
Dorian Finney-Smith,12.3,0.595,12.9,3.3,1.5,4.9,0.1,-0.3,-0.2,0.9
Bryn Forbes,11.1,0.57,18.5,1.3,0.3,1.5,-0.6,-2.1,-2.7,-0.3
Evan Fournier,16.4,0.595,23.9,2.9,1.7,4.6,1.4,-0.4,1,1.6
De'Aaron Fox,20.6,0.558,29.8,2.6,1.4,4,2.3,-0.5,1.8,1.6
Melvin Frazier,9.8,0.559,14,0,0.2,0.2,-3.5,1.2,-2.3,0
Michael Frazier,-0.9,0.384,11.5,-0.2,0.1,-0.2,-8.9,-2.1,-11,-0.3
Tim Frazier,9.8,0.464,17.3,-0.1,0.2,0.1,-3,-1.6,-4.6,-0.2
Enes Freedom,22.4,0.599,19.4,2.6,1.8,4.4,1.8,-0.3,1.5,0.9
Markelle Fultz,14.3,0.517,21.4,0.6,2,2.7,-1.8,0,-1.8,0.1
Wenyen Gabriel,9.6,0.546,13.4,0,0.2,0.2,-3.7,-0.1,-3.8,-0.1
Daniel Gafford,16.2,0.686,13.3,1.1,0.8,1.9,-2.8,1.5,-1.3,0.1
Danilo Gallinari,19.5,0.612,24.6,4.5,1.9,6.3,4.1,-0.9,3.3,2.4
Langston Galloway,12.3,0.584,15.9,2.4,0.7,3.1,0,-0.9,-0.8,0.5
Darius Garland,8.5,0.498,20.7,-1.3,0,-1.3,-2.7,-2.8,-5.5,-1.7
Marc Gasol,11.8,0.551,13.2,0.8,2.2,3,-1.2,2.8,1.6,1.1
Rudy Gay,15.4,0.553,22,0.9,1.1,2.1,0,-0.9,-0.8,0.4
Paul George,21.1,0.589,29.6,2.5,2.3,4.8,3.8,1.1,4.9,2.5
Taj Gibson,16.1,0.61,14.8,1.8,0.8,2.6,-0.8,-0.3,-1.1,0.2
Harry Giles,16.4,0.58,20.6,0.8,0.8,1.6,-2.2,0.9,-1.3,0.1
Shai Gilgeous-Alexander,17.7,0.568,23.7,3.1,3,6.1,1.3,0.4,1.7,2.2
Rudy Gobert,21.7,0.699,16.2,6.5,4.2,10.7,1.7,1.9,3.6,3.3
Brandon Goodwin,11.6,0.507,22.4,-0.1,0.2,0.1,-1.6,-1.3,-2.9,-0.1
Aaron Gordon,15.1,0.516,20.7,1.4,2.3,3.7,-0.1,0.1,0,1
Eric Gordon,10.3,0.51,22.5,-0.1,0.6,0.5,-1.8,-2.1,-3.9,-0.5
Devonte' Graham,15.8,0.537,24.8,2.4,0.9,3.4,2.5,-2.1,0.5,1.4
Jerami Grant,14.4,0.591,18,2.8,1.6,4.4,0.1,-0.6,-0.5,0.7
Danny Green,10.8,0.552,13.9,0.8,2.5,3.4,-1.1,1.5,0.5,1.1
Draymond Green,12.5,0.489,15.7,-0.2,1.3,1.1,-2.1,1.9,-0.2,0.5
JaMychal Green,11.1,0.576,13.7,1.1,2,3.1,-1.2,0.7,-0.5,0.5
Javonte Green,13.1,0.564,15.3,0.4,0.8,1.1,-2.1,1.4,-0.7,0.2
Rui Hachimura,13.5,0.535,19,1.3,0.5,1.8,-1.2,-2,-3.2,-0.4
Tim Hardaway Jr.,14.5,0.581,21.1,3.4,1.1,4.4,1.2,-1.4,-0.1,1
James Harden,29.1,0.626,36.3,9.9,3.2,13.1,8.1,1.6,9.6,7.3
Jared Harper,-5.3,0.25,21.3,0,0,0,-10.1,-5.6,-15.7,0
Montrezl Harrell,23.2,0.607,25.7,4.4,2.5,7,2.5,0.5,2.9,2.2
Gary Harris,9.7,0.519,15.1,0.5,1.4,1.9,-2.8,0.3,-2.5,-0.2
Joe Harris,13.3,0.606,18.3,2.5,1.8,4.3,0.4,-0.6,-0.2,1
Tobias Harris,17.2,0.556,23.9,3.5,2.7,6.2,1.3,-0.5,0.8,1.8
Shaquille Harrison,17.8,0.559,18.1,0.7,0.8,1.5,0.4,2.4,2.8,0.6
Josh Hart,11.9,0.563,15.3,1.3,1.8,3.1,-1.1,0.4,-0.7,0.6
Isaiah Hartenstein,18.6,0.674,14.8,0.7,0.4,1.1,-1,1.3,0.3,0.2
Udonis Haslem,6.5,0.47,13.8,0,0.1,0,-5.8,-1.6,-7.4,-0.1
Jaxson Hayes,17.6,0.689,15,2.8,1.1,3.9,-0.9,0.6,-0.3,0.5
Gordon Hayward,18.1,0.595,21.1,3.5,2.2,5.7,2.6,0.1,2.7,2
John Henson,17,0.578,16.3,0.6,0.8,1.4,-1.2,2.1,0.9,0.4
Dewan Hernandez,12.9,0.432,29.3,0,0.1,0,-6.6,-3,-9.6,-0.1
Juancho Hernangómez,10.4,0.518,15.7,0.2,0.7,0.9,-2.2,-1.1,-3.4,-0.3
Willy Hernangómez,19.2,0.576,22.9,0.4,0.4,0.8,0.6,-0.5,0.1,0.2
Tyler Herro,12.5,0.55,22.3,0.2,1.3,1.6,-0.4,-1.2,-1.6,0.1
Kevin Hervey,5,0.315,22.8,-0.2,0.1,-0.1,-4,-1.1,-5.1,0
Mario Hezonja,9.5,0.525,13.9,0.1,0.6,0.8,-3.1,0.2,-2.9,-0.2
Buddy Hield,16,0.566,27.2,1.4,1.5,3,2.5,-1.4,1.1,1.7
George Hill,16.9,0.659,15.5,3.5,2.1,5.5,1.6,1.3,2.9,1.6
Jrue Holiday,17,0.537,24.5,2,1.9,3.9,1.6,0.2,1.8,2
Justin Holiday,12.1,0.585,13.4,1.6,2.6,4.2,-0.5,1.8,1.3,1.5
Dwight Howard,18.7,0.696,14.7,2.8,2.6,5.4,-1,1.2,0.2,0.7
William Howard,-12.7,0,15.9,-0.1,0,-0.1,-14.2,-5.4,-19.6,-0.1
Kevin Huerter,11.5,0.536,17.1,1,0.6,1.6,-0.7,-0.9,-1.6,0.2
De'Andre Hunter,8.6,0.521,17.5,-0.4,0.5,0.1,-2.9,-1.8,-4.7,-1.4
Chandler Hutchison,12.4,0.521,19.1,0,0.7,0.7,-2.7,0.1,-2.6,-0.1
Serge Ibaka,17.3,0.583,24,1.2,2.7,3.9,0.1,0,0.1,0.8
Andre Iguodala,10.5,0.507,12.7,0,0.6,0.6,-1.9,1.4,-0.5,0.2
Ersan İlyasova,14.9,0.589,16.1,1.6,2,3.6,-0.3,0.8,0.4,0.6
Joe Ingles,12.6,0.595,15.1,2.7,2.1,4.8,0.1,0.7,0.7,1.5
Brandon Ingram,18.8,0.587,28.1,3.3,1.8,5.1,2.5,-0.4,2.1,2.2
Kyrie Irving,26.2,0.595,32.6,2.1,0.8,2.9,6.7,0.9,7.7,1.6
Jonathan Isaac,17.3,0.552,18.3,0.6,1.9,2.5,-0.6,2.9,2.3,1.1
