Team,ORtg,DRtg,NRtg
Milwaukee Bucks,112.98,103.36,9.62
Los Angeles Clippers,114.66,108.25,6.41
Los Angeles Lakers,112.78,107.14,5.65
Toronto Raptors,112.02,105.85,6.18
Boston Celtics,114.14,107.79,6.35
Dallas Mavericks,117.5,112.53,4.97
Houston Rockets,113.71,110.82,2.89
Utah Jazz,113.14,110.48,2.66
Miami Heat,113.29,110.36,2.93
Oklahoma City Thunder,111.74,109.66,2.09
Denver Nuggets,114.06,111.9,2.15
Philadelphia 76ers,112.09,109.77,2.32
Indiana Pacers,110.9,108.77,2.12
Phoenix Suns,112.38,112.27,0.11
New Orleans Pelicans,111.42,112.62,-1.2
Portland Trail Blazers,114.26,115.41,-1.15
San Antonio Spurs,112.98,114.17,-1.2
Memphis Grizzlies,109.97,110.91,-0.94
Brooklyn Nets,109.68,110.25,-0.57
Orlando Magic,109.1,110.28,-1.18
Sacramento Kings,111.09,113.03,-1.94
Minnesota Timberwolves,108.91,113.03,-4.12
Chicago Bulls,107.6,110.74,-3.14
Detroit Pistons,109.96,113.59,-3.63
Washington Wizards,111.69,116.16,-4.46
New York Knicks,107.1,113.52,-6.42
Charlotte Hornets,107.32,114.21,-6.89
Atlanta Hawks,107.86,115.47,-7.61
Cleveland Cavaliers,108.14,116.2,-8.05
Golden State Warriors,105.93,114.66,-8.74